Breed,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,Classification,obey,reps_lower,reps_upper
Above Average Working Dogs,,,,,,,,
Newfoundland,26,28,100,150,Above Average Working Dogs,0.7,16,25
Briard,23,27,74,76,Above Average Working Dogs,0.7,16,25
Chesapeake Bay Retriever,21,26,55,75,Above Average Working Dogs,0.7,16,25
Clumber Spaniel,19,20,35,65,Above Average Working Dogs,0.7,16,25
English Setter,23,27,45,80,Above Average Working Dogs,0.7,16,25
Giant Schnauzer,25,28,70,75,Above Average Working Dogs,0.7,16,25
Gordon Setter,23,27,45,80,Above Average Working Dogs,0.7,16,25
Irish Setter,25,27,60,70,Above Average Working Dogs,0.7,16,25
American Staffordshire Terrier,17,19,40,50,Above Average Working Dogs,0.7,16,25
Bearded Collie,20,22,40,60,Above Average Working Dogs,0.7,16,25
Dalmatian,19,23,45,70,Above Average Working Dogs,0.7,16,25
Field Spaniel,18,18,35,50,Above Average Working Dogs,0.7,16,25
Kerry Blue Terrier,17,21,30,45,Above Average Working Dogs,0.7,16,25
Norwegian Elkhound,19,20,40,60,Above Average Working Dogs,0.7,16,25
Pharaoh Hound,21,25,45,55,Above Average Working Dogs,0.7,16,25
Portuguese Water Dog,20,23,42,60,Above Average Working Dogs,0.7,16,25
Samoyed,19,24,50,65,Above Average Working Dogs,0.7,16,25
Welsh Springer Spaniel,16,19,35,45,Above Average Working Dogs,0.7,16,25
Australian Terrier,10,10,10,14,Above Average Working Dogs,0.7,16,25
Border Terrier,12,15,12,15,Above Average Working Dogs,0.7,16,25
Cairn Terrier,9,10,14,14,Above Average Working Dogs,0.7,16,25
Puli,16,17,29,33,Above Average Working Dogs,0.7,16,25
Affenpinscher,9,12,8,12,Above Average Working Dogs,0.7,16,25
Yorkshire Terrier,8,8,3,7,Above Average Working Dogs,0.7,16,25
Average Working/Obedience Intelligence,,,,,,,,
Akita,26,28,80,120,Average Working/Obedience Intelligence,0.5,26,40
Great Dane,32,32,120,160,Average Working/Obedience Intelligence,0.5,26,40
Irish Wolfhound,28,35,90,150,Average Working/Obedience Intelligence,0.5,26,40
Kuvasz,28,30,70,120,Average Working/Obedience Intelligence,0.5,26,40
Alaskan Malamute,,,,,Average Working/Obedience Intelligence,0.5,26,40
American Foxhound,22,25,65,70,Average Working/Obedience Intelligence,0.5,26,40
Boxer,21,25,65,70,Average Working/Obedience Intelligence,0.5,26,40
Curly Coated Retriever,25,27,65,80,Average Working/Obedience Intelligence,0.5,26,40
English Foxhound,22,25,65,70,Average Working/Obedience Intelligence,0.5,26,40
German Wirehaired Pointer,22,26,60,70,Average Working/Obedience Intelligence,0.5,26,40
Greyhound,27,30,60,70,Average Working/Obedience Intelligence,0.5,26,40
Rhodesian Ridgeback,24,27,70,85,Average Working/Obedience Intelligence,0.5,26,40
Scottish Deerhound,28,32,75,110,Average Working/Obedience Intelligence,0.5,26,40
American Water Spaniel,15,18,25,45,Average Working/Obedience Intelligence,0.5,26,40
Australian Shepherd,18,23,40,60,Average Working/Obedience Intelligence,0.5,26,40
Chinese Shar Pei,18,20,45,55,Average Working/Obedience Intelligence,0.5,26,40
Finnish Spitz,15,20,31,35,Average Working/Obedience Intelligence,0.5,26,40
Ibizan Hound,22,29,42,55,Average Working/Obedience Intelligence,0.5,26,40
Irish Terrier,18,19,25,27,Average Working/Obedience Intelligence,0.5,26,40
Pointer,21,24,44,66,Average Working/Obedience Intelligence,0.5,26,40
Saluki,23,28,35,70,Average Working/Obedience Intelligence,0.5,26,40
Siberian Husky,20,23,40,60,Average Working/Obedience Intelligence,0.5,26,40
Staffordshire Bull Terrier,14,16,24,28,Average Working/Obedience Intelligence,0.5,26,40
Wirehaired Pointing Griffon,20,24,45,60,Average Working/Obedience Intelligence,0.5,26,40
Bedlington Terrier,15,16,18,23,Average Working/Obedience Intelligence,0.5,26,40
Bichon Frise,9.5,11.5,10,18,Average Working/Obedience Intelligence,0.5,26,40
Boston Terrier,14,15,15,25,Average Working/Obedience Intelligence,0.5,26,40
Cavalier King Charles Spaniel,10,15,15,20,Average Working/Obedience Intelligence,0.5,26,40
Dachshund,7,10,16,32,Average Working/Obedience Intelligence,0.5,26,40
Shiba Inu,13,16,15,30,Average Working/Obedience Intelligence,0.5,26,40
Tibetan Spaniel,10,10,9,15,Average Working/Obedience Intelligence,0.5,26,40
Welsh Terrier,15,15,20,21,Average Working/Obedience Intelligence,0.5,26,40
West Highland White Terrier,11,11,13,15,Average Working/Obedience Intelligence,0.5,26,40
Whippet,18,22,27,30,Average Working/Obedience Intelligence,0.5,26,40
Brightest Dogs,,,,,,,,
Rottweiler,22,27,90,110,Brightest Dogs,0.95,1,4
Doberman Pinscher,26,28,60,100,Brightest Dogs,0.95,1,4
Golden Retriever,21,24,55,75,Brightest Dogs,0.95,1,4
Labrador Retriever,21,24,55,80,Brightest Dogs,0.95,1,4
Australian Cattle Dog,17,20,35,45,Brightest Dogs,0.95,1,4
Border Collie,19,21,40,40,Brightest Dogs,0.95,1,4
Papillon,8,11,5,10,Brightest Dogs,0.95,1,4
Excellent Working Dogs,,,,,,,,
Bernese Mountain Dog,23,27,85,110,Excellent Working Dogs,0.85,5,15
Belgian Malinois,22,26,60,65,Excellent Working Dogs,0.85,5,15
Belgian Sheepdog,22,26,60,75,Excellent Working Dogs,0.85,5,15
German Shorthaired Pointer,20,27,50,80,Excellent Working Dogs,0.85,5,15
Weimaraner,25,27,70,85,Excellent Working Dogs,0.85,5,15
Brittany,17,21,30,40,Excellent Working Dogs,0.85,5,15
English Springer Spaniel,20,20,45,55,Excellent Working Dogs,0.85,5,15
Irish Water Spaniel,10,23,45,65,Excellent Working Dogs,0.85,5,15
Keeshond,17,19,35,50,Excellent Working Dogs,0.85,5,15
Standard Schnauzer,17,19,33,33,Excellent Working Dogs,0.85,5,15
Vizsla,48,66,22,25,Excellent Working Dogs,0.85,5,15
Cardigan Welsh Corgi,10,12,25,35,Excellent Working Dogs,0.85,5,15
Schipperke,10,13,12,18,Excellent Working Dogs,0.85,5,15
Pomeranian,12,12,3,7,Excellent Working Dogs,0.85,5,15
Fair Working/Obedience Intelligence,,,,,,,,
Bullmastiff,25,27,100,130,Fair Working/Obedience Intelligence,0.3,41,80
Great Pyrenees,27,32,95,120,Fair Working/Obedience Intelligence,0.3,41,80
Saint Bernard,25,28,110,190,Fair Working/Obedience Intelligence,0.3,41,80
Bull Terrier,21,22,50,70,Fair Working/Obedience Intelligence,0.3,41,80
Dandie Dinmont Terrier,18,24,8,11,Fair Working/Obedience Intelligence,0.3,41,80
French Bulldog,11,12,17,28,Fair Working/Obedience Intelligence,0.3,41,80
Lakeland Terrier,13,14,15,17,Fair Working/Obedience Intelligence,0.3,41,80
Pug,10,11,14,22,Fair Working/Obedience Intelligence,0.3,41,80
Scottish Terrier,10,12,18,22,Fair Working/Obedience Intelligence,0.3,41,80
Sealyham Terrier,12,12,18,20,Fair Working/Obedience Intelligence,0.3,41,80
Skye Terrier,10,10,25,25,Fair Working/Obedience Intelligence,0.3,41,80
Tibetan Terrier,14,17,20,30,Fair Working/Obedience Intelligence,0.3,41,80
Chihuahua,6,9,2,5,Fair Working/Obedience Intelligence,0.3,41,80
Chinese Crested,11,13,5,12,Fair Working/Obedience Intelligence,0.3,41,80
Italian Greyhound,12,15,6,10,Fair Working/Obedience Intelligence,0.3,41,80
Japanese Chin,8,11,4,11,Fair Working/Obedience Intelligence,0.3,41,80
Maltese,8,10,4,6,Fair Working/Obedience Intelligence,0.3,41,80
